id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_494,Nutrient-Rich Salmon Fillet & Barley Bowl,Dog,Senior,"Salmon Fillet, Barley, Zucchini, Carrots, Salmon Oil","159g, 90g, 22g, 25g, 6g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Carrots) so they are easily digestible. | Mix the cooked Salmon Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",238,14.4,9.6,22.8,"Vitamin E, Vitamin B12, Vitamin A, Vitamin D3","Copper, Zinc, Potassium, Manganese",20 mins,Medium,"High Protein, Weight Management","High Protein Support, Weight Management Support",https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-barley-bowl
DOG_495,Slow-Cooked Lamb Lean & Brown Rice Bite-Sized Dinner,Dog,Adult,"Lamb Lean, Brown Rice, Broccoli, Spinach, Carrots, Salmon Oil","215g, 94g, 46g, 78g, 76g, 14g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Spinach, Carrots) so they are easily digestible. | Mix the cooked Lamb Lean, Brown Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",176,11.6,11.6,6.7,"Vitamin E, Vitamin B12, Thiamine, Vitamin D3","Iron, Manganese",20 mins,Medium,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-slow-cooked-lamb-lean-and-brown-rice-bite-sized-dinner
DOG_496,Wholesome Egg & Potato Bite-Sized Dinner,Dog,Senior,"Egg, Potato, Spinach, Zucchini, Olive Oil","179g, 73g, 70g, 40g, 14g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Zucchini) so they are easily digestible. | Mix the cooked Egg, Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",128,7.2,9.1,4.8,"Vitamin E, Folic Acid, Niacin","Calcium, Copper, Zinc",25 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-wholesome-egg-and-potato-bite-sized-dinner
DOG_497,Hearty Egg & Oatmeal Bite-Sized Dinner,Dog,Baby,"Egg, Oatmeal, Broccoli, Zucchini, Spinach, Coconut Oil","233g, 149g, 21g, 46g, 35g, 13g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Zucchini, Spinach) so they are easily digestible. | Mix the cooked Egg, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",216,11.6,9.9,21.1,"Vitamin E, Folic Acid, Vitamin D3, Vitamin A","Zinc, Magnesium, Selenium",30 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-hearty-egg-and-oatmeal-bite-sized-dinner
DOG_498,Savory Salmon Fillet & White Rice Skillet Mix,Dog,Senior,"Salmon Fillet, White Rice, Green Beans, Coconut Oil","164g, 136g, 49g, 8g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Salmon Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",169,10.5,8.4,11.6,"Thiamine, Vitamin D3, Folic Acid, Vitamin E","Calcium, Phosphorus",20 mins,Easy,"General Wellness, Skin & Coat","General Wellness Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-savory-salmon-fillet-and-white-rice-skillet-mix
DOG_499,Savory Lamb Lean & Brown Rice Loaf,Dog,Senior,"Lamb Lean, Brown Rice, Zucchini, Salmon Oil","210g, 138g, 24g, 15g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Lamb Lean, Brown Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",233,14.6,15.6,8.4,"Riboflavin, Niacin","Potassium, Zinc, Iron",25 mins,Medium,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-brown-rice-loaf
DOG_500,Premium Lamb Lean & Barley Skillet Mix,Dog,Baby,"Lamb Lean, Barley, Peas, Broccoli, Flaxseed Oil","163g, 99g, 71g, 75g, 11g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Broccoli) so they are easily digestible. | Mix the cooked Lamb Lean, Barley, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",239,14.1,11.5,20.9,"Thiamine, Vitamin D3, Folic Acid, Niacin","Zinc, Calcium, Potassium",20 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-premium-lamb-lean-and-barley-skillet-mix
DOG_501,Nutrient-Rich Tofu & Pumpkin Puree Casserole,Dog,Senior,"Tofu, Pumpkin Puree, Green Beans, Salmon Oil","130g, 59g, 75g, 14g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Tofu, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",95,4.4,7.4,4.2,"Vitamin A, Riboflavin, Folic Acid, Vitamin E","Copper, Selenium",30 mins,Medium,"Skin & Coat, High Protein","Skin & Coat Support, High Protein Support",https://pawfeed.ai/recipes/dog-nutrient-rich-tofu-and-pumpkin-puree-casserole
DOG_502,Slow-Cooked Venison & Potato Puree topper,Dog,Senior,"Venison, Potato, Green Beans, Coconut Oil","118g, 98g, 70g, 10g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Venison, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",122,13.0,4.7,7.3,"Vitamin C, Riboflavin","Calcium, Zinc, Copper, Magnesium",15 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-slow-cooked-venison-and-potato-puree-topper
DOG_503,Savory Salmon Fillet & Quinoa Loaf,Dog,Adult,"Salmon Fillet, Quinoa, Peas, Flaxseed Oil","128g, 135g, 61g, 12g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",174,10.4,9.4,11.0,"Vitamin D3, Riboflavin, Vitamin B12","Copper, Phosphorus, Selenium, Magnesium",30 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-savory-salmon-fillet-and-quinoa-loaf
DOG_504,Nutrient-Rich Salmon Fillet & Quinoa Bite-Sized Dinner,Dog,Baby,"Salmon Fillet, Quinoa, Carrots, Broccoli, Coconut Oil","194g, 139g, 26g, 53g, 5g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Broccoli) so they are easily digestible. | Mix the cooked Salmon Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",154,11.2,7.9,8.5,"Folic Acid, Niacin","Copper, Selenium, Phosphorus",20 mins,Easy,"Senior Pet, General Wellness","Senior Pet Support, General Wellness Support",https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-quinoa-bite-sized-dinner
DOG_505,Hearty Tofu & Oatmeal Bake,Dog,Adult,"Tofu, Oatmeal, Carrots, Broccoli, Coconut Oil","110g, 141g, 78g, 52g, 8g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Broccoli) so they are easily digestible. | Mix the cooked Tofu, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",193,8.9,6.0,27.3,"Vitamin C, Vitamin B12","Magnesium, Potassium",15 mins,Medium,"High Protein, Weight Management","High Protein Support, Weight Management Support",https://pawfeed.ai/recipes/dog-hearty-tofu-and-oatmeal-bake
DOG_506,Hearty Cod Fillet & Potato Casserole,Dog,Adult,"Cod Fillet, Potato, Green Beans, Celery, Coconut Oil","147g, 101g, 77g, 58g, 15g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Celery) so they are easily digestible. | Mix the cooked Cod Fillet, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",91,7.6,4.1,6.1,"Thiamine, Riboflavin","Phosphorus, Calcium",30 mins,Medium,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-hearty-cod-fillet-and-potato-casserole
DOG_507,Premium Beef Lean & White Rice Mash,Dog,Baby,"Beef Lean, White Rice, Peas, Green Beans, Olive Oil","105g, 81g, 53g, 57g, 10g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Green Beans) so they are easily digestible. | Mix the cooked Beef Lean, White Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",169,10.9,8.6,11.1,"Folic Acid, Vitamin C, Thiamine, Vitamin E","Selenium, Iron, Magnesium",25 mins,Easy,"Weight Management, Digestive Health","Weight Management Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-premium-beef-lean-and-white-rice-mash
DOG_508,Premium Lamb Lean & White Rice Loaf,Dog,Baby,"Lamb Lean, White Rice, Broccoli, Zucchini, Peas, Flaxseed Oil","165g, 86g, 47g, 38g, 33g, 11g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Zucchini, Peas) so they are easily digestible. | Mix the cooked Lamb Lean, White Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",194,12.4,12.2,8.7,"Vitamin D3, Vitamin A","Copper, Zinc, Iron, Selenium",25 mins,Easy,"Puppy/Kitten, Weight Management","Puppy/Kitten Support, Weight Management Support",https://pawfeed.ai/recipes/dog-premium-lamb-lean-and-white-rice-loaf
DOG_509,Homestyle Egg & Potato Skillet Mix,Dog,Senior,"Egg, Potato, Zucchini, Salmon Oil","187g, 72g, 40g, 5g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Egg, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",131,8.6,8.5,5.1,"Riboflavin, Niacin","Calcium, Iron, Phosphorus, Selenium",30 mins,Medium,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-homestyle-egg-and-potato-skillet-mix
DOG_510,Slow-Cooked Pork Loin & Sweet Potato Bite-Sized Dinner,Dog,Senior,"Pork Loin, Sweet Potato, Broccoli, Olive Oil","127g, 136g, 57g, 7g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Pork Loin, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",155,11.6,7.7,9.5,"Thiamine, Vitamin D3, Vitamin E, Vitamin A","Iron, Copper",30 mins,Medium,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-slow-cooked-pork-loin-and-sweet-potato-bite-sized-dinner
DOG_511,Wholesome Lamb Lean & Potato Skillet Mix,Dog,Baby,"Lamb Lean, Potato, Carrots, Coconut Oil","132g, 74g, 46g, 5g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Lamb Lean, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",195,13.6,12.8,6.6,"Niacin, Folic Acid, Vitamin D3, Vitamin B12","Zinc, Calcium, Copper, Potassium",15 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-wholesome-lamb-lean-and-potato-skillet-mix
DOG_512,Fresh & Healthy Tofu & Sweet Potato Stew,Dog,Baby,"Tofu, Sweet Potato, Carrots, Coconut Oil","227g, 133g, 67g, 14g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Tofu, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",99,4.7,5.7,8.5,"Vitamin E, Vitamin D3, Niacin","Potassium, Phosphorus, Magnesium, Calcium",20 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-fresh-and-healthy-tofu-and-sweet-potato-stew
DOG_513,Savory Lamb Lean & Oatmeal Puree topper,Dog,Senior,"Lamb Lean, Oatmeal, Zucchini, Olive Oil","131g, 94g, 50g, 7g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Lamb Lean, Oatmeal, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",289,17.5,14.6,22.5,"Vitamin C, Vitamin E","Manganese, Phosphorus",30 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-oatmeal-puree-topper
DOG_514,Premium Egg & Pumpkin Puree Bite-Sized Dinner,Dog,Baby,"Egg, Pumpkin Puree, Broccoli, Zucchini, Flaxseed Oil","134g, 96g, 77g, 57g, 5g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Zucchini) so they are easily digestible. | Mix the cooked Egg, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",85,5.8,5.5,4.0,"Niacin, Riboflavin, Vitamin E, Vitamin D3","Phosphorus, Iron, Selenium",25 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-premium-egg-and-pumpkin-puree-bite-sized-dinner
DOG_515,Nutrient-Rich Salmon Fillet & Quinoa Mash,Dog,Senior,"Salmon Fillet, Quinoa, Spinach, Celery, Flaxseed Oil","183g, 113g, 31g, 63g, 8g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Celery) so they are easily digestible. | Mix the cooked Salmon Fillet, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",152,10.8,8.6,6.7,"Riboflavin, Thiamine, Niacin","Iron, Magnesium, Phosphorus",25 mins,Easy,"Digestive Health, Puppy/Kitten","Digestive Health Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-quinoa-mash
DOG_516,Fresh & Healthy Cod Fillet & White Rice Casserole,Dog,Baby,"Cod Fillet, White Rice, Celery, Olive Oil","141g, 134g, 62g, 12g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Cod Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",116,8.4,3.9,11.3,"Riboflavin, Thiamine","Copper, Magnesium, Calcium",30 mins,Easy,"General Wellness, Skin & Coat","General Wellness Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-cod-fillet-and-white-rice-casserole
DOG_517,Hearty Turkey Breast & Barley Casserole,Dog,Adult,"Turkey Breast, Barley, Green Beans, Peas, Coconut Oil","190g, 122g, 34g, 66g, 8g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Peas) so they are easily digestible. | Mix the cooked Turkey Breast, Barley, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",196,18.2,3.3,24.0,"Vitamin C, Vitamin E, Vitamin B12","Manganese, Zinc, Iron, Copper",30 mins,Medium,"Puppy/Kitten, Senior Pet","Puppy/Kitten Support, Senior Pet Support",https://pawfeed.ai/recipes/dog-hearty-turkey-breast-and-barley-casserole
DOG_518,Nutrient-Rich Egg & Quinoa Skillet Mix,Dog,Baby,"Egg, Quinoa, Peas, Broccoli, Green Beans, Flaxseed Oil","223g, 50g, 74g, 72g, 40g, 12g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Broccoli, Green Beans) so they are easily digestible. | Mix the cooked Egg, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",129,8.1,8.1,6.6,"Vitamin D3, Vitamin C","Selenium, Copper, Potassium, Calcium",20 mins,Medium,"Joint Health, General Wellness","Joint Health Support, General Wellness Support",https://pawfeed.ai/recipes/dog-nutrient-rich-egg-and-quinoa-skillet-mix
DOG_519,Wholesome Tofu & Barley Bite-Sized Dinner,Dog,Senior,"Tofu, Barley, Celery, Carrots, Flaxseed Oil","126g, 59g, 57g, 25g, 6g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Carrots) so they are easily digestible. | Mix the cooked Tofu, Barley, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",138,6.6,5.0,18.2,"Folic Acid, Riboflavin, Vitamin B12","Potassium, Magnesium, Iron, Calcium",30 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-wholesome-tofu-and-barley-bite-sized-dinner
DOG_520,Homestyle Venison & Potato Casserole,Dog,Senior,"Venison, Potato, Zucchini, Green Beans, Coconut Oil","244g, 74g, 30g, 41g, 8g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Green Beans) so they are easily digestible. | Mix the cooked Venison, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",128,19.1,3.9,4.1,"Vitamin D3, Folic Acid, Vitamin B12","Calcium, Copper, Manganese",15 mins,Easy,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-homestyle-venison-and-potato-casserole
DOG_521,Nutrient-Rich Turkey Breast & Quinoa Casserole,Dog,Senior,"Turkey Breast, Quinoa, Green Beans, Salmon Oil","179g, 122g, 46g, 13g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Turkey Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",144,16.6,5.0,8.0,"Vitamin A, Vitamin B12","Copper, Zinc, Manganese, Selenium",20 mins,Easy,"Skin & Coat, Weight Management","Skin & Coat Support, Weight Management Support",https://pawfeed.ai/recipes/dog-nutrient-rich-turkey-breast-and-quinoa-casserole
DOG_522,Premium Venison & Oatmeal Stew,Dog,Senior,"Venison, Oatmeal, Broccoli, Flaxseed Oil","135g, 122g, 45g, 8g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Venison, Oatmeal, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",246,20.1,6.7,27.0,"Niacin, Vitamin D3, Folic Acid, Thiamine","Zinc, Copper, Potassium",25 mins,Easy,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-premium-venison-and-oatmeal-stew
DOG_523,Slow-Cooked Egg & Pumpkin Puree Casserole,Dog,Adult,"Egg, Pumpkin Puree, Carrots, Olive Oil","211g, 136g, 62g, 5g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Egg, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",104,7.1,6.9,4.1,"Vitamin C, Vitamin D3, Thiamine, Vitamin E","Magnesium, Manganese",20 mins,Medium,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-slow-cooked-egg-and-pumpkin-puree-casserole
DOG_524,Premium Beef Lean & Pumpkin Puree Mash,Dog,Baby,"Beef Lean, Pumpkin Puree, Broccoli, Spinach, Olive Oil","202g, 67g, 28g, 48g, 11g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Spinach) so they are easily digestible. | Mix the cooked Beef Lean, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",180,15.6,11.7,2.3,"Vitamin B12, Thiamine","Magnesium, Selenium",25 mins,Medium,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-premium-beef-lean-and-pumpkin-puree-mash
DOG_525,Hearty Chicken Breast & Pumpkin Puree Bowl,Dog,Senior,"Chicken Breast, Pumpkin Puree, Zucchini, Coconut Oil","236g, 51g, 28g, 13g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Chicken Breast, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",158,22.6,6.6,1.3,"Thiamine, Niacin","Calcium, Zinc, Iron",20 mins,Medium,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-hearty-chicken-breast-and-pumpkin-puree-bowl
DOG_526,Savory Salmon Fillet & White Rice Stew,Dog,Adult,"Salmon Fillet, White Rice, Zucchini, Celery, Olive Oil","250g, 114g, 75g, 41g, 9g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Celery) so they are easily digestible. | Mix the cooked Salmon Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",157,11.1,8.6,7.3,"Vitamin B12, Folic Acid, Niacin","Iron, Magnesium, Phosphorus",15 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-savory-salmon-fillet-and-white-rice-stew
DOG_527,Fresh & Healthy Salmon Fillet & Brown Rice Bake,Dog,Adult,"Salmon Fillet, Brown Rice, Broccoli, Celery, Green Beans, Olive Oil","172g, 72g, 36g, 44g, 49g, 11g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Celery, Green Beans) so they are easily digestible. | Mix the cooked Salmon Fillet, Brown Rice, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",148,10.0,8.9,6.2,"Riboflavin, Folic Acid","Copper, Phosphorus, Magnesium",20 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-fresh-and-healthy-salmon-fillet-and-brown-rice-bake
DOG_528,Savory Turkey Breast & Oatmeal Bite-Sized Dinner,Dog,Baby,"Turkey Breast, Oatmeal, Zucchini, Celery, Olive Oil","103g, 124g, 40g, 66g, 6g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Celery) so they are easily digestible. | Mix the cooked Turkey Breast, Oatmeal, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",204,15.6,4.8,25.1,"Folic Acid, Riboflavin, Vitamin E, Thiamine","Calcium, Manganese, Zinc",20 mins,Easy,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-savory-turkey-breast-and-oatmeal-bite-sized-dinner
DOG_529,Wholesome Chicken Breast & Potato Bite-Sized Dinner,Dog,Adult,"Chicken Breast, Potato, Carrots, Celery, Green Beans, Coconut Oil","130g, 127g, 59g, 61g, 61g, 9g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Celery, Green Beans) so they are easily digestible. | Mix the cooked Chicken Breast, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",99,10.0,3.2,7.5,"Folic Acid, Vitamin D3, Riboflavin","Zinc, Manganese, Calcium, Selenium",15 mins,Easy,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-wholesome-chicken-breast-and-potato-bite-sized-dinner
DOG_530,Hearty Venison & Brown Rice Puree topper,Dog,Adult,"Venison, Brown Rice, Celery, Zucchini, Carrots, Flaxseed Oil","156g, 89g, 38g, 20g, 31g, 15g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Zucchini, Carrots) so they are easily digestible. | Mix the cooked Venison, Brown Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",140,14.3,5.9,7.2,"Vitamin D3, Niacin, Vitamin B12, Folic Acid","Calcium, Manganese, Copper",30 mins,Easy,"High Protein, Digestive Health","High Protein Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-hearty-venison-and-brown-rice-puree-topper
